icao,name,lon,lat,type,municipality
SB06,Pirenopolis Centeral Airport,-48.982601,-15.848900,small_airport,Pirenópolis
SB29,Vista Alegre Airport,-48.534901,-6.870940,small_airport,Araguanã
SBAA,Conceição do Araguaia Airport,-49.301498,-8.348350,medium_airport,Conceição do Araguaia
SBAC,Aracati Dragão do Mar Regional Airport,-37.805135,-4.568896,medium_airport,Aracati
SBAE,Bauru/Arealva–Moussa Nakhal Tobias State Airport,-49.070325,-22.160755,medium_airport,Bauru
SBAF,Campo Délio Jardim de Mattos Airport,-43.384701,-22.875099,medium_airport,Rio de Janeiro
SBAM,Amapá Airport,-50.858200,2.077510,small_airport,Amapá
SBAN,Anápolis Airbase,-48.964298,-16.229200,medium_airport,Anápolis
SBAQ,Araraquara Airport,-48.132999,-21.812000,medium_airport,Araraquara
SBAR,Aracaju - Santa Maria Airport,-37.072873,-10.983940,medium_airport,Aracaju
SBAT,Piloto Osvaldo Marques Dias Airport,-56.106298,-9.866389,medium_airport,Alta Floresta
SBAU,Araçatuba Airport,-50.424575,-21.141479,medium_airport,Araçatuba
SBAX,Romeu Zema Airport,-46.960400,-19.563200,medium_airport,Araxá
SBBE,Val de Cans/Júlio Cezar Ribeiro International Airport,-48.476207,-1.379279,large_airport,Belém
SBBG,Comandante Gustavo Kraemer Airport,-54.112202,-31.390499,medium_airport,Bagé
SBBH,Pampulha - Carlos Drummond de Andrade Airport,-43.950316,-19.850740,medium_airport,Belo Horizonte
SBBI,Bacacheri Airport,-49.231998,-25.405100,medium_airport,Curitiba
SBBP,Estadual Arthur Siqueira Airport,-46.537131,-22.978822,small_airport,Bragança Paulista
SBBQ,Major Brigadeiro Doorgal Borges Airport,-43.761010,-21.267200,medium_airport,Barbacena
SBBR,Presidente Juscelino Kubitschek International Airport,-47.920834,-15.869167,large_airport,Brasília
SBBT,Chafei Amsei Airport,-48.594125,-20.584631,medium_airport,Barretos
SBBU,Bauru Airport,-49.053799,-22.344999,small_airport,Bauru
SBBV,Atlas Brasil Cantanhede International Airport,-60.690648,2.846150,large_airport,Boa Vista
SBBW,Barra do Garças Airport,-52.389008,-15.861417,medium_airport,Barra do Garças
SBBZ,Umberto Modiano Airport,-41.963080,-22.770881,medium_airport,Cabo Frio
SBCA,Coronel Adalberto Mendes da Silva Airport,-53.501208,-25.000323,medium_airport,Cascavel
SBCB,Cabo Frio Airport,-42.071874,-22.921485,small_airport,Cabo Frio
SBCC,Campo de Provas Brigadeiro Veloso,-54.965401,-9.333940,medium_airport,Novo Progresso
SBCD,Doctor Carlos Alberto da Costa Neves Airport,-50.939942,-26.787423,small_airport,Caçador
SBCF,Tancredo Neves International Airport,-43.966928,-19.635710,large_airport,Belo Horizonte
SBCG,Campo Grande Airport,-54.673988,-20.469998,medium_airport,Campo Grande
SBCH,Serafin Enoss Bertaso Airport,-52.656601,-27.134199,medium_airport,Chapecó
SBCI,Brig. Lysias Augusto Rodrigues Airport,-47.458698,-7.320440,medium_airport,Carolina
SBCJ,Carajás Airport,-50.003372,-6.117841,medium_airport,Parauapebas
SBCM,Forquilhinha - Criciúma  Airport,-49.424475,-28.725743,medium_airport,Criciúma
